"tick","# of Humans","# of Zombies"
0.0,100,5
1.0,99,6
2.0,99,6
3.0,99,6
4.0,99,6
5.0,99,6
6.0,99,6
7.0,99,6
8.0,99,6
9.0,99,6
10.0,99,6
11.0,99,6
12.0,99,6
13.0,99,6
14.0,99,6
15.0,99,6
16.0,99,6
17.0,99,6
18.0,99,6
19.0,99,6
20.0,99,6
21.0,99,6
22.0,99,6
23.0,99,6
24.0,99,6
25.0,99,6
26.0,99,6
27.0,99,6
28.0,99,6
29.0,99,6
30.0,99,6
31.0,99,6
32.0,99,6
33.0,99,6
34.0,99,6
35.0,99,6
36.0,99,6
37.0,99,6
38.0,99,6
39.0,99,6
40.0,99,6
41.0,99,6
42.0,99,6
43.0,99,6
44.0,99,6
45.0,98,7
46.0,98,7
47.0,98,7
48.0,98,7
49.0,98,7
50.0,98,7
51.0,96,9
52.0,96,9
53.0,96,9
54.0,96,9
55.0,96,9
56.0,96,9
57.0,95,10
58.0,95,10
59.0,94,11
60.0,94,11
61.0,94,11
62.0,94,11
63.0,94,11
64.0,94,11
65.0,94,11
66.0,94,11
67.0,94,11
68.0,94,11
69.0,93,12
70.0,93,12
71.0,93,12
72.0,93,12
73.0,93,12
74.0,93,12
75.0,92,13
76.0,92,13
77.0,92,13
78.0,92,13
79.0,91,14
80.0,91,14
81.0,90,15
82.0,90,15
83.0,90,15
84.0,90,15
85.0,89,16
86.0,89,16
87.0,89,16
88.0,89,16
89.0,88,17
90.0,88,17
91.0,87,18
92.0,87,18
93.0,87,18
94.0,87,18
95.0,87,18
96.0,87,18
97.0,87,18
98.0,87,18
99.0,87,18
100.0,87,18
101.0,86,19
102.0,86,19
103.0,86,19
104.0,86,19
105.0,86,19
106.0,86,19
107.0,86,19
108.0,86,19
109.0,86,19
110.0,86,19
111.0,86,19
112.0,86,19
113.0,86,19
114.0,86,19
115.0,86,19
116.0,86,19
117.0,86,19
118.0,86,19
119.0,85,20
120.0,85,20
121.0,84,21
122.0,84,21
123.0,83,22
124.0,83,22
125.0,83,22
126.0,83,22
127.0,83,22
128.0,83,22
129.0,83,22
130.0,83,22
131.0,82,23
132.0,82,23
133.0,81,24
134.0,81,24
135.0,81,24
136.0,81,24
137.0,80,25
138.0,80,25
139.0,80,25
140.0,80,25
141.0,79,26
142.0,79,26
143.0,78,27
144.0,78,27
145.0,78,27
146.0,78,27
147.0,78,27
148.0,78,27
149.0,77,28
150.0,77,28
151.0,77,28
152.0,77,28
153.0,77,28
154.0,77,28
155.0,76,29
156.0,76,29
157.0,75,30
158.0,75,30
159.0,74,31
160.0,74,31
161.0,74,31
162.0,74,31
163.0,73,32
164.0,73,32
165.0,73,32
166.0,73,32
167.0,72,33
168.0,72,33
169.0,72,33
170.0,72,33
171.0,72,33
172.0,72,33
173.0,72,33
174.0,72,33
175.0,72,33
176.0,72,33
177.0,72,33
178.0,72,33
179.0,72,33
180.0,72,33
181.0,72,33
182.0,72,33
183.0,71,34
184.0,71,34
185.0,70,35
186.0,70,35
187.0,70,35
188.0,70,35
189.0,70,35
190.0,70,35
191.0,70,35
192.0,70,35
193.0,70,35
194.0,70,35
195.0,70,35
196.0,70,35
197.0,68,37
198.0,68,37
199.0,68,37
200.0,68,37
201.0,68,37
202.0,68,37
203.0,68,37
204.0,68,37
205.0,68,37
206.0,68,37
207.0,67,38
208.0,67,38
209.0,67,38
210.0,67,38
211.0,67,38
212.0,67,38
213.0,67,38
214.0,67,38
215.0,66,39
216.0,66,39
217.0,66,39
218.0,66,39
219.0,66,39
220.0,66,39
221.0,64,41
222.0,64,41
223.0,64,41
224.0,64,41
225.0,64,41
226.0,64,41
227.0,63,42
228.0,63,42
229.0,61,44
230.0,61,44
231.0,60,45
232.0,60,45
233.0,56,49
234.0,56,49
235.0,56,49
236.0,56,49
237.0,56,49
238.0,56,49
239.0,56,49
240.0,56,49
241.0,54,51
242.0,54,51
243.0,53,52
244.0,53,52
245.0,52,53
246.0,52,53
247.0,51,54
248.0,51,54
249.0,51,54
250.0,51,54
251.0,51,54
252.0,51,54
253.0,51,54
254.0,51,54
255.0,51,54
256.0,51,54
257.0,50,55
258.0,50,55
259.0,50,55
260.0,50,55
261.0,50,55
262.0,50,55
263.0,49,56
264.0,49,56
265.0,49,56
266.0,49,56
267.0,49,56
268.0,49,56
269.0,48,57
270.0,48,57
271.0,48,57
272.0,48,57
273.0,48,57
274.0,48,57
275.0,48,57
276.0,48,57
277.0,48,57
278.0,48,57
279.0,48,57
280.0,48,57
281.0,47,58
282.0,47,58
283.0,47,58
284.0,47,58
285.0,47,58
286.0,47,58
287.0,46,59
288.0,46,59
289.0,46,59
290.0,46,59
291.0,46,59
292.0,46,59
293.0,46,59
294.0,46,59
295.0,46,59
296.0,46,59
297.0,46,59
298.0,46,59
299.0,45,60
300.0,45,60
301.0,44,61
302.0,44,61
303.0,44,61
304.0,44,61
305.0,43,62
306.0,43,62
307.0,43,62
308.0,43,62
309.0,43,62
310.0,43,62
311.0,41,64
312.0,41,64
313.0,41,64
314.0,41,64
315.0,41,64
316.0,41,64
317.0,39,66
318.0,39,66
319.0,38,67
320.0,38,67
321.0,37,68
322.0,37,68
323.0,36,69
324.0,36,69
325.0,36,69
326.0,36,69
327.0,36,69
328.0,36,69
329.0,36,69
330.0,36,69
331.0,36,69
332.0,36,69
333.0,36,69
334.0,36,69
335.0,35,70
336.0,35,70
337.0,35,70
338.0,35,70
339.0,35,70
340.0,35,70
341.0,34,71
