"tick","# of Humans","# of Zombies"
0.0,100,5
1.0,100,5
2.0,100,5
3.0,100,5
4.0,100,5
5.0,99,6
6.0,99,6
7.0,99,6
8.0,99,6
9.0,99,6
10.0,99,6
11.0,99,6
12.0,99,6
13.0,99,6
14.0,99,6
15.0,99,6
16.0,99,6
17.0,99,6
18.0,99,6
19.0,99,6
20.0,99,6
21.0,99,6
22.0,99,6
23.0,99,6
24.0,99,6
25.0,99,6
26.0,99,6
27.0,99,6
28.0,99,6
29.0,98,7
30.0,98,7
31.0,98,7
32.0,98,7
33.0,98,7
34.0,98,7
35.0,98,7
36.0,98,7
37.0,98,7
38.0,98,7
39.0,98,7
40.0,98,7
41.0,98,7
42.0,98,7
43.0,98,7
44.0,98,7
45.0,98,7
46.0,98,7
47.0,98,7
48.0,98,7
49.0,98,7
50.0,98,7
51.0,98,7
52.0,98,7
53.0,98,7
54.0,98,7
55.0,98,7
56.0,98,7
57.0,98,7
58.0,98,7
59.0,98,7
60.0,98,7
61.0,98,7
62.0,98,7
63.0,98,7
64.0,98,7
65.0,98,7
66.0,98,7
67.0,98,7
68.0,98,7
69.0,98,7
70.0,98,7
71.0,98,7
72.0,98,7
73.0,97,8
74.0,97,8
75.0,97,8
76.0,97,8
77.0,97,8
78.0,97,8
79.0,97,8
80.0,97,8
81.0,97,8
82.0,97,8
83.0,96,9
84.0,96,9
85.0,96,9
86.0,96,9
87.0,96,9
88.0,96,9
89.0,95,10
90.0,95,10
91.0,95,10
92.0,95,10
93.0,95,10
94.0,95,10
95.0,95,10
96.0,95,10
97.0,95,10
98.0,95,10
99.0,95,10
100.0,95,10
101.0,95,10
102.0,95,10
103.0,95,10
104.0,95,10
105.0,95,10
106.0,95,10
107.0,95,10
108.0,95,10
109.0,95,10
110.0,95,10
111.0,95,10
112.0,95,10
113.0,95,10
114.0,95,10
115.0,95,10
116.0,95,10
117.0,95,10
118.0,95,10
119.0,95,10
120.0,95,10
121.0,95,10
122.0,95,10
123.0,95,10
124.0,95,10
125.0,95,10
126.0,95,10
127.0,94,11
128.0,94,11
129.0,94,11
130.0,94,11
131.0,94,11
132.0,94,11
133.0,94,11
134.0,94,11
135.0,94,11
136.0,94,11
137.0,94,11
138.0,94,11
139.0,94,11
140.0,94,11
141.0,93,12
142.0,93,12
143.0,93,12
144.0,93,12
145.0,92,13
146.0,92,13
147.0,92,13
148.0,92,13
149.0,92,13
150.0,92,13
151.0,92,13
152.0,92,13
153.0,92,13
154.0,92,13
155.0,92,13
156.0,92,13
157.0,92,13
158.0,92,13
159.0,92,13
160.0,92,13
161.0,92,13
162.0,92,13
163.0,92,13
164.0,92,13
165.0,92,13
166.0,92,13
167.0,92,13
168.0,92,13
169.0,92,13
170.0,92,13
171.0,92,13
172.0,92,13
173.0,92,13
174.0,92,13
175.0,92,13
176.0,92,13
177.0,92,13
178.0,92,13
179.0,92,13
180.0,92,13
181.0,91,14
182.0,91,14
183.0,91,14
184.0,91,14
185.0,91,14
186.0,91,14
187.0,91,14
188.0,91,14
189.0,91,14
190.0,91,14
191.0,91,14
192.0,91,14
193.0,91,14
194.0,91,14
195.0,90,15
196.0,90,15
197.0,90,15
198.0,90,15
199.0,89,16
200.0,89,16
201.0,89,16
202.0,89,16
203.0,89,16
204.0,89,16
205.0,89,16
206.0,89,16
207.0,89,16
208.0,89,16
209.0,89,16
210.0,89,16
211.0,89,16
212.0,89,16
213.0,88,17
214.0,88,17
215.0,88,17
216.0,88,17
217.0,88,17
218.0,88,17
219.0,87,18
220.0,87,18
221.0,87,18
222.0,87,18
223.0,86,19
224.0,86,19
225.0,85,20
226.0,85,20
